a0,b0,c0,d0,e0,f0,g0,h0,i0,j0,l0,m0,n0,o0,p0,q0,r0,s0,t0,u0
a1,b1,c1,d1,e1,f1,g1,h1,i1,j1,l1,m1,n1,o1,p1,q1,r1,s1,t1,u1
a2,b2,c2,d2,e2,f2,g2,h2,i2,j2,l2,m2,n2,o2,p2,q2,r2,s2,t2,u2
a3,b3,c3,d3,e3,f3,g3,h3,i3,j3,l3,m3,n3,o3,p3,q3,r3,s3,t3,u3
a4,b4,c4,d4,e4,f4,g4,h4,i4,j4,l4,m4,n4,o4,p4,q4,r4,s4,t4,u4
a5,b5,c5,d5,e5,f5,g5,h5,i5,j5,l5,m5,n5,o5,p5,q5,r5,s5,t5,u5
a6,b6,c6,d6,e6,f6,g6,h6,i6,j6,l6,m6,n6,o6,p6,q6,r6,s6,t6,u6
a7,b7,c7,d7,e7,f7,g7,h7,i7,j7,l7,m7,n7,o7,p7,q7,r7,s7,t7,u7
a8,b8,c8,d8,e8,f8,g8,h8,i8,j8,l8,m8,n8,o8,p8,q8,r8,s8,t8,u8
a9,b9,c9,d9,e9,f9,g9,h9,i9,j9,l9,m9,n9,o9,p9,q9,r9,s9,t9,u9
a10,b10,c10,d10,e10,f10,g10,h10,i10,j10,l10,m10,n10,o10,p10,q10,r10,s10,t10,u10
a11,b11,c11,d11,e11,f11,g11,h11,i11,j11,l11,m11,n11,o11,p11,q11,r11,s11,t11,u11
a12,b12,c12,d12,e12,f12,g12,h12,i12,j12,l12,m12,n12,o12,p12,q12,r12,s12,t12,u12
a13,b13,c13,d13,e13,f13,g13,h13,i13,j13,l13,m13,n13,o13,p13,q13,r13,s13,t13,u13
a14,b14,c14,d14,e14,f14,g14,h14,i14,j14,l14,m14,n14,o14,p14,q14,r14,s14,t14,u14
a15,b15,c15,d15,e15,f15,g15,h15,i15,j15,l15,m15,n15,o15,p15,q15,r15,s15,t15,u15
a16,b16,c16,d16,e16,f16,g16,h16,i16,j16,l16,m16,n16,o16,p16,q16,r16,s16,t16,u16
a17,b17,c17,d17,e17,f17,g17,h17,i17,j17,l17,m17,n17,o17,p17,q17,r17,s17,t17,u17
a18,b18,c18,d18,e18,f18,g18,h18,i18,j18,l18,m18,n18,o18,p18,q18,r18,s18,t18,u18
a19,b19,c19,d19,e19,f19,g19,h19,i19,j19,l19,m19,n19,o19,p19,q19,r19,s19,t19,u19
a20,b20,c20,d20,e20,f20,g20,h20,i20,j20,l20,m20,n20,o20,p20,q20,r20,s20,t20,u20
a21,b21,c21,d21,e21,f21,g21,h21,i21,j21,l21,m21,n21,o21,p21,q21,r21,s21,t21,u21
a22,b22,c22,d22,e22,f22,g22,h22,i22,j22,l22,m22,n22,o22,p22,q22,r22,s22,t22,u22
a23,b23,c23,d23,e23,f23,g23,h23,i23,j23,l23,m23,n23,o23,p23,q23,r23,s23,t23,u23
a24,b24,c24,d24,e24,f24,g24,h24,i24,j24,l24,m24,n24,o24,p24,q24,r24,s24,t24,u24
a25,b25,c25,d25,e25,f25,g25,h25,i25,j25,l25,m25,n25,o25,p25,q25,r25,s25,t25,u25
a26,b26,c26,d26,e26,f26,g26,h26,i26,j26,l26,m26,n26,o26,p26,q26,r26,s26,t26,u26
a27,b27,c27,d27,e27,f27,g27,h27,i27,j27,l27,m27,n27,o27,p27,q27,r27,s27,t27,u27
a28,b28,c28,d28,e28,f28,g28,h28,i28,j28,l28,m28,n28,o28,p28,q28,r28,s28,t28,u28
a29,b29,c29,d29,e29,f29,g29,h29,i29,j29,l29,m29,n29,o29,p29,q29,r29,s29,t29,u29
a30,b30,c30,d30,e30,f30,g30,h30,i30,j30,l30,m30,n30,o30,p30,q30,r30,s30,t30,u30
a31,b31,c31,d31,e31,f31,g31,h31,i31,j31,l31,m31,n31,o31,p31,q31,r31,s31,t31,u31
